"MONTH","DEKAD","Avg_Rain","Avg_ETREF","Avg_Tmp"
"01",1,7.14919294051902,21.8038943263234,13.3166626829268
"01",2,6.29939957408781,24.1901813083331,13.6623724390244
"01",3,8.59538109935255,27.1793064102142,14.7219454545455
"02",1,9.84815240382439,30.0506501458144,15.4474175609756
"02",2,7.11796181619512,33.3102935957158,17.0293670731707
"02",3,7.14298970982249,39.8921075664024,18.3142568047337
"03",1,5.85310165196488,45.1993263545193,19.7675965853659
"03",2,5.29427528162342,50.8882794192211,21.9086751219512
"03",3,2.96108705109712,59.845452520224,24.0987376940133
"04",1,4.75831271906341,69.3961395087559,25.8670463414634
"04",2,6.52042069470439,76.6404506793008,28.2394682926829
"04",3,1.48474688382439,83.7936063547062,30.4130043902439
"05",1,4.1666914332878,85.1268805582374,31.2003570731707
"05",2,5.98585105123902,84.9370648058045,32.08014
"05",3,5.75292511077605,88.620372423824,32.8328115299335
"06",1,12.9361097867707,86.5948068618013,33.726363902439
"06",2,17.4946210138537,76.4789743451279,32.9596197560976
"06",3,34.5581772697756,65.076149223112,32.4018351219512
"07",1,43.991653571122,56.6099484783867,31.4311417073171
"07",2,50.5606798993171,47.1295978890203,30.3207302439024
"07",3,47.1060863169845,44.1858414890657,30.0226818181818
"08",1,46.2839782499122,43.0637795133511,29.7188348780488
"08",2,43.7416169464976,42.2277261119124,29.5901719512195
"08",3,42.4405719775078,44.2907935727229,29.4665423503326
"09",1,50.7198337147317,44.8699989544455,29.5587943902439
"09",2,24.1600050263415,45.0708833568518,29.108643902439
"09",3,27.298543715122,46.7774166096747,28.369133902439
"10",1,5.28058032634537,48.7278025177213,27.8860368292683
"10",2,4.9472453814322,47.3294186074731,26.0377309756098
"10",3,0.374754827494457,43.5620575357551,23.962432594235
"11",1,2.06620880961179,39.0158557973027,22.0566041463415
"11",2,0.737657642606049,37.023881798853,20.4101875609756
"11",3,1.2905118155239,33.5590197513783,18.3307643902439
"12",1,1.14384909087219,31.21075910534,17.0929297560976
"12",2,1.08179284425366,27.149469755634,15.6137046341463
"12",3,3.91682074110865,23.4080144935493,14.0447490022173
